order_id,customer_id,city,gender,age,device_type,traffic_source,experiment_group,converted,order_value,num_items,session_time_min,delivery_time_days,customer_rating,discount_applied,payment_method,return_flag
ORD00001,CUST03175,Chennai,Male,22,Desktop,Google Ads,B_Variant,0,2149,2,18.05,5.9,2.8,1,Credit Card,1
ORD00002,CUST00861,Bengaluru,Female,59,Mobile,Google Ads,B_Variant,0,4361,3,10.05,4.1,3.2,0,Credit Card,0
ORD00003,CUST01295,Hyderabad,Male,25,Mobile,Google Ads,B_Variant,0,1362,2,5.06,4.2,3.4,1,Net Banking,0
ORD00004,CUST01131,Mumbai,Male,55,Tablet,Google Ads,A_Control,0,3955,4,1.79,3.7,5.0,0,Net Banking,0
ORD00005,CUST01096,Delhi,Male,45,Desktop,Organic,A_Control,0,3171,2,18.1,6.2,3.1,0,Credit Card,1
ORD00006,CUST03093,Bengaluru,Female,29,Tablet,Social Media,B_Variant,0,4012,5,10.7,2.9,3.9,1,UPI,0
ORD00007,CUST01639,Delhi,Female,42,Mobile,Google Ads,B_Variant,0,4700,1,4.33,3.2,3.8,1,UPI,0
ORD00008,CUST02170,Chennai,Male,55,Mobile,Referral,A_Control,0,3320,3,9.73,3.9,3.3,1,Credit Card,0
ORD00009,CUST00467,Chennai,Male,32,Desktop,Google Ads,A_Control,0,3134,3,9.87,2.6,4.0,0,UPI,0
ORD00010,CUST01239,Mumbai,Male,58,Mobile,Organic,B_Variant,0,4629,2,4.18,3.4,3.6,1,UPI,0
ORD00011,CUST00331,Bengaluru,Female,51,Desktop,Google Ads,A_Control,0,4520,1,17.52,6.0,3.6,0,UPI,0
ORD00012,CUST01483,Bengaluru,Female,30,Mobile,Google Ads,B_Variant,0,3180,1,12.73,5.3,5.0,1,UPI,0
ORD00013,CUST02136,Delhi,Female,25,Desktop,Google Ads,B_Variant,0,2091,7,7.04,3.7,3.2,0,Net Banking,0
ORD00014,CUST03445,Hyderabad,Male,30,Mobile,Social Media,A_Control,0,2925,6,7.22,5.5,4.4,1,UPI,0
ORD00015,CUST03172,Chennai,Female,53,Mobile,Email,A_Control,1,3135,1,9.25,7.4,3.1,1,Net Banking,0
ORD00016,CUST02920,Chennai,Male,23,Mobile,Google Ads,B_Variant,0,3095,2,5.94,4.8,2.8,1,UPI,1
ORD00017,CUST00131,Chennai,Female,55,Desktop,Organic,B_Variant,0,3140,2,17.03,6.4,3.6,0,Debit Card,1
ORD00018,CUST01686,Delhi,Male,49,Desktop,Google Ads,B_Variant,1,3366,3,14.37,5.6,3.0,0,Net Banking,0
ORD00019,CUST03381,Hyderabad,Female,38,Mobile,Email,B_Variant,0,2505,2,8.36,3.9,3.7,0,Net Banking,0
ORD00020,CUST00770,Chennai,Female,24,Desktop,Email,B_Variant,0,2444,6,17.34,4.6,3.2,1,Net Banking,0
ORD00021,CUST02392,Chennai,Female,43,Mobile,Google Ads,A_Control,0,2559,6,5.0,5.1,4.5,0,UPI,0
ORD00022,CUST01516,Hyderabad,Female,32,Mobile,Organic,B_Variant,0,2539,1,3.94,3.2,3.0,0,COD,0
ORD00023,CUST03486,Delhi,Male,59,Mobile,Referral,A_Control,0,3593,4,6.87,1.0,4.2,1,UPI,0
ORD00024,CUST02854,Chennai,Male,40,Tablet,Organic,A_Control,0,2386,1,7.74,3.0,3.9,0,COD,0
ORD00025,CUST02434,Mumbai,Female,55,Mobile,Organic,A_Control,0,5603,3,11.19,1.1,4.0,1,Credit Card,0
ORD00026,CUST01216,Delhi,Male,58,Mobile,Organic,A_Control,0,4102,5,10.77,3.2,3.3,0,UPI,0
ORD00027,CUST00956,Delhi,Male,32,Desktop,Social Media,A_Control,0,3601,3,19.7,1.7,3.9,0,Net Banking,0
ORD00028,CUST02325,Hyderabad,Male,57,Mobile,Referral,B_Variant,1,3308,2,11.57,5.6,4.0,0,Net Banking,0
ORD00029,CUST01185,Hyderabad,Female,33,Mobile,Referral,A_Control,0,3138,7,5.17,2.5,4.1,0,UPI,0
ORD00030,CUST00460,Chennai,Male,49,Mobile,Email,B_Variant,0,2717,4,11.23,5.1,3.5,1,Net Banking,0
ORD00031,CUST03386,Chennai,Male,54,Desktop,Organic,B_Variant,1,4675,1,12.72,5.4,3.0,0,UPI,0
ORD00032,CUST00022,Bengaluru,Male,35,Mobile,Organic,A_Control,0,3460,2,11.72,5.4,4.8,0,UPI,0
ORD00033,CUST02301,Hyderabad,Male,37,Desktop,Organic,A_Control,0,2513,4,13.08,1.5,3.9,0,Net Banking,0
ORD00034,CUST00748,Bengaluru,Female,19,Desktop,Referral,A_Control,0,2973,1,7.36,6.0,3.9,0,UPI,0
ORD00035,CUST02905,Delhi,Female,40,Desktop,Social Media,A_Control,0,3651,1,16.3,4.9,3.2,1,UPI,0
ORD00036,CUST00475,Mumbai,Female,47,Desktop,Organic,A_Control,0,4678,5,12.49,5.5,4.7,1,COD,0
ORD00037,CUST01083,Chennai,Male,20,Mobile,Google Ads,A_Control,0,2902,1,6.63,7.0,4.5,0,Credit Card,0
ORD00038,CUST02559,Chennai,Female,56,Mobile,Organic,A_Control,1,2996,4,6.89,5.5,4.0,1,Credit Card,0
ORD00039,CUST02048,Delhi,Male,18,Desktop,Referral,A_Control,0,2131,2,14.43,2.5,4.2,0,Credit Card,0
ORD00040,CUST02748,Mumbai,Male,58,Tablet,Organic,A_Control,0,4548,5,2.22,5.3,4.8,0,Debit Card,0
ORD00041,CUST00976,Chennai,Female,39,Mobile,Google Ads,B_Variant,0,4286,5,1.0,2.0,3.5,0,Net Banking,0
ORD00042,CUST01807,Mumbai,Female,46,Mobile,Google Ads,A_Control,0,3713,7,11.9,4.2,5.0,1,Debit Card,0
ORD00043,CUST00190,Chennai,Female,31,Mobile,Organic,B_Variant,0,3549,1,5.53,3.5,3.1,0,Debit Card,0
ORD00044,CUST03006,Hyderabad,Female,45,Mobile,Referral,A_Control,0,2495,2,13.57,4.3,3.8,0,UPI,0
ORD00045,CUST02735,Delhi,Male,38,Mobile,Referral,A_Control,0,2594,3,12.11,2.0,3.3,0,Credit Card,0
ORD00046,CUST03006,Mumbai,Male,49,Mobile,Referral,B_Variant,0,2969,6,12.7,2.2,4.1,1,Credit Card,1
ORD00047,CUST00563,Chennai,Female,23,Mobile,Social Media,A_Control,0,2872,2,6.05,3.6,4.7,1,Debit Card,0
ORD00048,CUST01900,Chennai,Male,18,Mobile,Social Media,A_Control,0,2093,1,3.17,4.0,3.6,1,UPI,0
ORD00049,CUST01268,Bengaluru,Male,38,Mobile,Social Media,B_Variant,0,3743,1,4.74,3.7,4.6,1,COD,0
ORD00050,CUST02880,Hyderabad,Female,21,Mobile,Organic,A_Control,0,3506,3,6.66,6.5,2.2,0,UPI,0
ORD00051,CUST01529,Mumbai,Female,20,Desktop,Social Media,A_Control,0,2758,4,10.23,4.9,4.4,1,UPI,0
ORD00052,CUST03203,Bengaluru,Male,47,Tablet,Organic,A_Control,0,3881,4,6.57,4.9,4.9,1,UPI,0
ORD00053,CUST00647,Chennai,Female,48,Mobile,Social Media,A_Control,0,2447,1,7.39,3.7,3.8,1,Debit Card,0
ORD00054,CUST02069,Hyderabad,Female,51,Mobile,Google Ads,A_Control,0,4223,4,4.12,2.2,3.3,0,UPI,0
ORD00055,CUST02889,Mumbai,Female,36,Tablet,Google Ads,B_Variant,0,4208,4,4.88,4.3,3.4,0,COD,0
ORD00056,CUST02215,Chennai,Male,37,Desktop,Email,B_Variant,0,2892,2,13.96,7.0,3.4,1,COD,0
ORD00057,CUST01298,Bengaluru,Male,40,Mobile,Referral,B_Variant,0,3722,3,9.07,4.6,3.6,0,UPI,0
ORD00058,CUST02436,Delhi,Male,57,Mobile,Organic,B_Variant,0,3270,4,5.33,6.0,4.7,0,Credit Card,0
ORD00059,CUST00601,Mumbai,Male,42,Mobile,Google Ads,B_Variant,0,2563,2,8.88,6.2,4.4,0,UPI,0
ORD00060,CUST02364,Hyderabad,Male,32,Mobile,Referral,B_Variant,0,2933,6,8.41,5.1,4.8,0,Credit Card,0
ORD00061,CUST02062,Mumbai,Male,55,Mobile,Social Media,B_Variant,0,4179,1,8.14,4.6,3.9,0,Credit Card,0
ORD00062,CUST00242,Delhi,Male,40,Tablet,Organic,A_Control,0,4362,6,6.04,2.8,3.3,1,Net Banking,0
ORD00063,CUST02042,Delhi,Female,19,Mobile,Social Media,A_Control,0,2689,4,4.0,4.0,3.4,1,UPI,0
ORD00064,CUST02825,Hyderabad,Male,32,Desktop,Organic,B_Variant,0,2912,4,13.48,3.8,3.6,0,COD,0
ORD00065,CUST03418,Chennai,Female,52,Desktop,Organic,B_Variant,0,4019,1,9.55,4.8,3.4,0,COD,0
ORD00066,CUST02613,Chennai,Female,27,Desktop,Email,A_Control,0,3412,6,12.91,2.2,4.4,1,Credit Card,0
ORD00067,CUST02946,Delhi,Male,31,Desktop,Google Ads,B_Variant,1,2552,2,15.39,3.5,4.3,1,Credit Card,0
ORD00068,CUST01364,Bengaluru,Female,44,Tablet,Google Ads,B_Variant,0,3883,4,7.51,4.9,4.5,0,Credit Card,0
ORD00069,CUST02140,Bengaluru,Female,31,Mobile,Google Ads,A_Control,0,3410,5,9.47,3.2,3.3,1,UPI,0
ORD00070,CUST01391,Chennai,Male,52,Tablet,Organic,B_Variant,0,2509,1,2.5,2.9,3.9,0,Debit Card,0
ORD00071,CUST03004,Hyderabad,Female,50,Desktop,Google Ads,B_Variant,0,4383,6,18.13,3.1,3.7,1,Credit Card,0
ORD00072,CUST01479,Mumbai,Male,18,Mobile,Google Ads,B_Variant,0,2838,3,5.61,3.9,4.9,0,UPI,0
ORD00073,CUST02557,Chennai,Female,51,Desktop,Google Ads,A_Control,0,3280,4,9.94,1.0,4.2,0,Credit Card,0
ORD00074,CUST00776,Mumbai,Male,36,Desktop,Google Ads,A_Control,1,3399,6,17.35,3.2,4.2,0,UPI,0
ORD00075,CUST00035,Bengaluru,Female,41,Tablet,Organic,A_Control,0,4007,3,9.0,5.7,3.0,0,Debit Card,0
ORD00076,CUST02254,Delhi,Male,59,Mobile,Google Ads,A_Control,0,3492,2,8.24,4.8,3.7,1,Debit Card,0
ORD00077,CUST03153,Delhi,Female,21,Mobile,Social Media,A_Control,0,2518,3,12.18,4.9,3.4,0,Credit Card,1
ORD00078,CUST01956,Delhi,Male,53,Mobile,Social Media,B_Variant,0,4414,3,15.42,1.6,4.0,0,UPI,0
ORD00079,CUST01586,Bengaluru,Female,30,Mobile,Google Ads,B_Variant,0,3358,1,4.21,3.7,3.6,0,Net Banking,0
ORD00080,CUST03460,Delhi,Female,49,Mobile,Social Media,A_Control,0,3117,1,8.44,4.1,4.0,0,Debit Card,0
ORD00081,CUST03074,Chennai,Male,26,Mobile,Referral,A_Control,0,2352,1,8.44,5.0,2.4,1,Debit Card,0
ORD00082,CUST01022,Delhi,Female,56,Desktop,Referral,B_Variant,0,5145,1,11.17,6.0,3.0,0,Debit Card,0
ORD00083,CUST03462,Mumbai,Male,33,Mobile,Google Ads,A_Control,0,2682,4,4.75,5.7,3.6,0,UPI,0
ORD00084,CUST02614,Chennai,Female,20,Mobile,Email,B_Variant,1,2976,1,5.25,3.4,3.4,1,UPI,0
ORD00085,CUST01130,Delhi,Male,37,Mobile,Organic,B_Variant,0,2927,2,8.72,3.5,4.0,0,Credit Card,0
ORD00086,CUST01501,Delhi,Female,27,Mobile,Google Ads,B_Variant,0,3272,2,5.16,6.4,2.8,1,COD,0
ORD00087,CUST00703,Chennai,Female,39,Mobile,Google Ads,A_Control,0,3578,6,8.48,3.8,3.3,0,Credit Card,0
ORD00088,CUST02450,Delhi,Male,20,Mobile,Organic,B_Variant,0,1618,2,7.26,2.7,3.4,0,Net Banking,0
ORD00089,CUST02778,Mumbai,Male,28,Mobile,Organic,A_Control,0,2512,4,8.42,4.0,4.5,0,UPI,0
ORD00090,CUST01580,Delhi,Male,42,Mobile,Social Media,B_Variant,0,3745,2,5.14,6.3,3.7,0,Debit Card,0
ORD00091,CUST00162,Hyderabad,Female,59,Mobile,Social Media,A_Control,0,3783,1,8.47,2.9,3.3,1,UPI,1
ORD00092,CUST00202,Bengaluru,Male,25,Mobile,Google Ads,B_Variant,0,3402,1,5.36,3.7,3.7,0,Credit Card,0
ORD00093,CUST01982,Chennai,Female,26,Mobile,Organic,A_Control,0,3127,2,8.48,3.0,3.4,0,UPI,0
ORD00094,CUST00996,Bengaluru,Female,32,Mobile,Organic,A_Control,0,3216,1,12.02,5.7,3.3,0,Debit Card,0
ORD00095,CUST02318,Mumbai,Male,49,Mobile,Organic,A_Control,0,4208,3,8.78,4.7,5.0,0,Credit Card,1
ORD00096,CUST00816,Delhi,Female,20,Desktop,Referral,A_Control,0,3442,3,13.91,5.7,3.8,1,Credit Card,0
ORD00097,CUST03343,Chennai,Male,21,Desktop,Email,B_Variant,0,2418,4,10.11,6.6,3.2,0,UPI,0
ORD00098,CUST00456,Mumbai,Male,47,Mobile,Referral,B_Variant,0,3806,1,3.79,2.0,3.5,0,UPI,0
ORD00099,CUST01276,Delhi,Female,30,Mobile,Social Media,B_Variant,0,3899,3,13.16,3.2,3.1,0,UPI,0
ORD00100,CUST01017,Delhi,Male,38,Desktop,Organic,A_Control,0,2744,1,13.31,3.6,4.0,0,Credit Card,1
ORD00101,CUST02344,Delhi,Male,58,Mobile,Organic,A_Control,0,3997,4,10.64,4.4,2.8,0,UPI,0
ORD00102,CUST02768,Hyderabad,Female,36,Desktop,Organic,A_Control,0,4197,2,10.18,5.1,3.8,1,UPI,0
ORD00103,CUST00338,Mumbai,Male,56,Tablet,Organic,A_Control,0,4134,3,5.29,3.6,4.4,0,Credit Card,0
ORD00104,CUST00879,Bengaluru,Female,39,Desktop,Email,B_Variant,0,3792,5,13.3,3.3,3.9,0,UPI,0
ORD00105,CUST01077,Mumbai,Female,37,Desktop,Organic,A_Control,0,4966,3,12.48,5.7,3.5,0,Credit Card,0
ORD00106,CUST00792,Hyderabad,Male,54,Desktop,Google Ads,B_Variant,1,3438,1,9.78,5.1,4.4,0,UPI,0
ORD00107,CUST02265,Mumbai,Male,48,Desktop,Email,B_Variant,1,4389,5,16.75,4.8,3.4,1,COD,0
ORD00108,CUST00764,Delhi,Female,27,Desktop,Email,B_Variant,0,2872,2,18.65,1.1,3.6,0,Debit Card,0
ORD00109,CUST02236,Chennai,Male,35,Desktop,Organic,B_Variant,0,3266,4,17.05,6.1,3.8,0,Credit Card,0
ORD00110,CUST00380,Chennai,Male,56,Desktop,Social Media,A_Control,0,2822,2,17.77,4.6,3.3,1,COD,0
ORD00111,CUST00493,Delhi,Female,37,Mobile,Google Ads,A_Control,0,3569,2,7.05,4.1,3.1,0,Net Banking,0
ORD00112,CUST03113,Delhi,Male,35,Mobile,Organic,B_Variant,0,2661,3,7.17,3.1,3.5,0,UPI,0
ORD00113,CUST01181,Delhi,Female,28,Desktop,Google Ads,B_Variant,0,4291,1,11.37,3.4,4.0,1,UPI,0
ORD00114,CUST02063,Delhi,Male,39,Mobile,Google Ads,A_Control,0,2992,5,3.73,3.0,3.4,0,UPI,0
ORD00115,CUST00065,Mumbai,Male,35,Desktop,Social Media,A_Control,0,2560,2,17.72,1.3,4.4,1,UPI,1
ORD00116,CUST02569,Bengaluru,Male,51,Tablet,Organic,B_Variant,0,3982,1,9.73,3.1,4.1,0,Debit Card,0
ORD00117,CUST01368,Delhi,Female,40,Desktop,Social Media,A_Control,0,3772,2,14.15,1.9,3.4,1,Credit Card,0
ORD00118,CUST01153,Delhi,Female,18,Tablet,Email,B_Variant,0,2884,4,2.42,4.2,3.4,0,Net Banking,0
ORD00119,CUST02028,Bengaluru,Female,27,Desktop,Google Ads,A_Control,1,3137,5,5.25,2.6,4.4,0,Credit Card,0
ORD00120,CUST02696,Hyderabad,Male,18,Mobile,Social Media,B_Variant,0,3022,3,7.26,5.4,4.6,1,Debit Card,0
ORD00121,CUST01496,Bengaluru,Male,55,Desktop,Organic,B_Variant,1,4781,2,15.52,1.8,4.4,0,UPI,0
ORD00122,CUST03135,Mumbai,Male,56,Mobile,Google Ads,B_Variant,1,2761,3,1.0,6.1,3.5,0,Debit Card,1
ORD00123,CUST01163,Mumbai,Male,26,Mobile,Social Media,A_Control,1,2474,5,12.48,5.6,4.8,0,Debit Card,0
ORD00124,CUST01523,Hyderabad,Female,48,Mobile,Social Media,B_Variant,0,3354,2,8.53,2.7,3.4,1,Debit Card,0
ORD00125,CUST02641,Delhi,Female,24,Mobile,Organic,B_Variant,0,2731,2,3.41,4.2,4.8,0,Net Banking,0
ORD00126,CUST00392,Mumbai,Male,34,Mobile,Referral,B_Variant,0,3516,3,9.13,3.0,4.0,0,UPI,0
